"MIN197304130","19730413",0,"Friday",0,"T","D","OAK","MIN","MIN02","odomj101","kaatj101","neudj901","mccol901","morgh901","chyln901","","",13040,"","David Horwich","David Horwich","1998/08/25 1:27PM","",0,0,51,0,-1,0,0,0,148,9,4,8,8,11,1,1,4,8,"kaatj101","odomj101","corbr101","","campb101",6,"nortb101",10,"rudij101",7,"jackr001",9,"bands101",5,"tenag101",3,"conib101",8,"fossr101",2,"greed102",4,"hisll101",8,"carer001",4,"killh102",3,"olivt102",10,"darwb101",9,"braus001",5,"thomd103",6,"roofp101",2,"holtj101",7,"knowd101","corbr101"
"MIN197304140","19730414",0,"Saturday",0,"T","D","OAK","MIN","MIN02","holtk101","blylb001","mccol901","morgh901","chyln901","neudj901","","",10711,"","David Horwich","David Horwich","1998/09/01 11:54AM","",0,0,67,0,-1,0,0,0,135,9,2,1,8,4,0,0,5,5,"holtk101","blylb001","","","campb101",6,"nortb101",8,"marqg101",10,"jackr001",9,"rudij101",7,"bands101",5,"tenag101",3,"fossr101",2,"kubit101",4,"hisll101",8,"carer001",4,"killh102",3,"olivt102",10,"darwb101",9,"bryes101",7,"waltd101",5,"thomd103",6,"mittg101",2,"",""
"MIN197304170","19730417",0,"Tuesday",0,"T","D","CAL","MIN","MIN02","singb101","kaatj101","honoj901","dimul901","odomj901","frana901","","",3856,"","David Horwich","David Horwich","1998/09/09 1:57PM","",0,0,65,0,-1,0,0,0,155,9,5,10,12,11,2,1,7,9,"kaatj101","singb101","sandk101","","aloms101",4,"valeb102",6,"howad101",7,"robif103",10,"olivb101",3,"stanl102",9,"berrk101",8,"galla101",5,"stepj102",2,"hisll101",8,"carer001",4,"killh102",3,"olivt102",10,"darwb101",9,"braus001",5,"thomd103",6,"mittg101",2,"holtj101",7,"may-r101","sandk101"
"MIN197304180","19730418",0,"Wednesday",0,"T","D","CAL","MIN","MIN02","ryann001","blylb001","dimul901","odomj901","frana901","honoj901","","",5088,"Angels","D Lamoureaux","D Lamoureaux","1995/02/22 6:15AM","",0,0,0,0,-1,0,0,0,154,9,3,2,9,5,0,0,8,6,"ryann001","blylb001","","","aloms101",4,"valeb102",6,"pinsv101",9,"robif103",10,"mccrt102",7,"spenj101",3,"berrk101",8,"galla101",5,"stepj102",2,"hisll101",8,"carer001",4,"killh102",3,"olivt102",10,"darwb101",9,"braus001",5,"thomd103",6,"mittg101",2,"holtj101",7,"",""
"MIN197304200","19730420",0,"Friday",0,"T","D","TEX","MIN","MIN02","handr101","handb101","odomj901","frana901","honoj901","dimul901","","",4600,"","David Horwich","David Horwich","1998/09/10 2:27PM","",0,0,70,0,-1,0,0,0,139,9,1,5,4,10,3,2,5,9,"handb101","handr101","","","harrv101",4,"harrt001",6,"cartr101",10,"epstm101",3,"johna104",7,"burrj001",9,"billd101",2,"lovij102",5,"madde101",8,"hisll101",8,"carer001",4,"killh102",3,"olivt102",10,"darwb101",9,"braus001",5,"terrj101",6,"mittg101",2,"holtj101",7,"merrj102",""
"MIN197304210","19730421",0,"Saturday",0,"T","D","TEX","MIN","MIN02","brobp101","kaatj101","frana901","honoj901","dimul901","odomj901","","",9397,"","David Horwich","David Horwich","1998/09/11 11:36AM","",0,0,69,0,-1,0,0,0,141,9,4,5,8,9,1,0,5,6,"sandk101","foucs101","","","harrv101",5,"harrt001",6,"nelsd101",4,"johna104",10,"cartr101",7,"epstm101",3,"burrj001",9,"madde101",8,"suark101",2,"hisll101",8,"carer001",4,"killh102",3,"olivt102",10,"darwb101",9,"braus001",5,"terrj101",6,"mittg101",2,"holtj101",7,"foucs101","sandk101"
"MIN197304220","19730422",0,"Sunday",0,"T","D","TEX","MIN","MIN02","bosmd101","blylb001","honoj901","dimul901","odomj901","frana901","","",4415,"","David Horwich","David Horwich","1998/09/12 1:50PM","",0,0,46,0,-1,0,0,0,150,9,4,6,10,7,0,1,8,4,"blylb001","bosmd101","corbr101","","nelsd101",4,"harrt001",6,"biitl101",3,"johna104",10,"cartr101",7,"billd101",2,"burrj001",9,"harrv101",5,"madde101",8,"hisll101",8,"carer001",4,"killh102",3,"waltd101",10,"darwb101",9,"braus001",5,"thomd103",6,"mittg101",2,"holtj101",7,"hudsc101","corbr101"
"MIN197305020","19730502",0,"Wednesday",0,"T","N","CLE","MIN","MIN02","strob101","woodd102","flahr901","sprim901","kunkb101","barnl901","","",4756,"","David Horwich","David Horwich","1998/09/30 4:34PM","",0,0,42,0,-1,0,0,4,217,10,8,4,11,11,1,3,12,10,"lambr101","sandk101","johnj104","","lowej001",7,"brohj101",4,"chamc001",3,"duncd101",2,"gambo001",10,"hendg001",8,"torrr101",9,"bellb001",5,"cardl101",6,"hisll101",8,"terrj101",4,"darwb101",9,"killh102",3,"waltd101",10,"braus001",5,"thomd103",6,"mittg101",2,"adamm102",7,"johnj104","corbr101"
"MIN197305040","19730504",0,"Friday",805,"T","N","BOS","MIN","MIN02","pattm101","kaatj101","sprim901","kunkb101","barnl901","flahr901","","",7285,"","David Horwich","David Horwich","1998/10/10 11:25AM","",0,0,58,0,-1,0,0,4,175,9,6,9,10,12,2,1,7,5,"kaatj101","pattm101","sandk101","","harpt101",7,"aparl101",6,"yastc101",3,"smitr101",8,"cepeo101",10,"petrr101",5,"fiskc001",2,"grifd101",4,"evand002",9,"carer001",4,"braus001",5,"killh102",3,"olivt102",10,"darwb101",9,"hisll101",8,"holtj101",7,"thomd103",6,"roofp101",2,"bolib101","sandk101"
"MIN197305050","19730505",0,"Saturday",121,"T","D","BOS","MIN","MIN02","lee-b101","blylb001","kunkb101","barnl901","flahr901","sprim901","","",6996,"","David Horwich","David Horwich","1998/10/10 12:06PM","",0,0,55,0,-1,0,4,0,172,9,5,1,12,10,1,1,7,14,"lee-b101","blylb001","vealb101","","harpt101",7,"aparl101",6,"yastc101",3,"smitr101",8,"cepeo101",10,"petrr101",5,"fiskc001",2,"oglib001",9,"grifd101",4,"hisll101",8,"carer001",4,"killh102",3,"darwb101",9,"olivt102",10,"waltd101",7,"braus001",5,"roofp101",2,"terrj101",6,"vealb101","corbr101"
"MIN197305060","19730506",0,"Sunday",200,"T","D","BOS","MIN","MIN02","tianl101","handb101","barnl901","flahr901","sprim901","kunkb101","","",7431,"","David Horwich","David Horwich","1998/10/27 9:09AM","",0,0,60,0,-1,0,4,0,162,9,3,10,10,14,3,2,10,8,"handb101","tianl101","","","harpt101",7,"aparl101",6,"yastc101",3,"smitr101",8,"cepeo101",10,"fiskc001",2,"oglib001",9,"grifd101",4,"kennj105",5,"hisll101",8,"carer001",4,"killh102",3,"olivt102",10,"darwb101",9,"braus001",5,"thomd103",6,"roofp101",2,"holtj101",7,"mcgll101",""
